"BehaviorSpace results (NetLogo 6.2.0)"
"abm_household_individual_levels.nlogo"
"experiment_inequality_a"
"04/05/2021 10:12:11:942 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-100","100","-100","100"
"[run number]","change_inequality","homogeneity_mode","inequality_distribution_mode","scaling_param_migration","deforestation_per_step_worker_ha","internal_validation_mode","export_sim_csv_files","desired_gini_level","remittances_usage_scaling_param","probability_remittances_agriculture_invest","time_frame","[step]","((sum [agriculture_land] of households) - t_0_land_amount ) / t_0_land_amount","gini-index-reserve","global_abandoned_land","count individuals with [member_migrated = TRUE] / count individuals","sum [workers] of households","global_deforested_land","global_household_index"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.05001385425325568","33.66201565729868","45.30000000000019","0.27997489014438165","740","88.62000000000087","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.05223053477417581","33.92066052227343","44.79000000000019","0.2730696798493409","749","90.0300000000009","1000"
"4","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.05074120254918266","33.90363802177756","45.03000000000023","0.2812303829252982","738","88.98000000000077","1000"
"8","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.050879745081740674","33.93992727112925","45.690000000000204","0.27997489014438165","753","89.7600000000009","1000"
"7","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.04862842892768106","34.052373717355884","46.14000000000018","0.2812303829252982","735","88.26000000000087","1000"
"3","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.04800498753117198","33.887225416969585","46.530000000000186","0.2893910860012555","737","88.11000000000082","1000"
"1","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","4","0.05437794402881701","33.72641963953308","43.7700000000002","0.26804770872567485","759","90.87000000000084","1000"
"5","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.059954280964255834","34.040409981592205","58.47000000000037","0.30069052102950405","718","110.40000000000136","1000"
"6","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.05998891659739584","33.68784036945059","58.500000000000355","0.295668549905838","728","110.46000000000146","1000"
"2","off","off","relative","1.2","0.03","off","true","16","0.8","0.05","empirical_data","5","0.0621363258520361","34.06181656122958","58.32000000000037","0.2900188323917137","737","112.14000000000144","1000"
